electricity,transport,waste,water,category
377,0,1.5,190,Good
175,1,3.7,102,Excellent
396,0,12.2,66,Moderate
65,0,5.2,308,Excellent
358,0,11.7,329,Moderate
264,1,9.5,192,Moderate
464,0,15.4,131,Moderate
407,3,7.5,129,Needs Improvement
160,2,2.9,244,Good
99,2,17.1,185,Moderate
463,0,14.9,324,Needs Improvement
113,3,2.5,200,Good
474,2,12.0,85,Needs Improvement
73,1,15.7,90,Good
487,1,17.5,244,Needs Improvement
192,3,13.1,236,Needs Improvement
133,2,7.8,186,Good
409,0,12.6,137,Moderate
323,1,4.1,244,Good
188,1,14.0,78,Good
167,0,16.3,255,Good
187,0,5.0,340,Good
498,2,5.0,305,Needs Improvement
252,3,3.7,121,Moderate
176,2,15.2,269,Moderate
348,3,7.9,120,Needs Improvement
310,3,2.7,74,Moderate
490,0,3.9,131,Good
455,3,12.3,247,Needs Improvement
245,3,11.1,333,Needs Improvement
490,0,13.9,108,Moderate
399,2,15.6,224,Needs Improvement
107,2,9.3,282,Moderate
51,2,19.5,141,Moderate
309,0,17.5,202,Moderate
480,1,3.9,132,Moderate
326,0,12.4,300,Moderate
59,0,18.7,207,Good
172,0,5.6,340,Good
90,0,14.9,85,Excellent
439,1,3.4,293,Moderate
331,1,6.0,266,Moderate
158,1,14.5,254,Moderate
393,2,9.3,314,Needs Improvement
281,0,5.7,82,Excellent
223,0,12.2,167,Good
351,1,1.1,80,Good
167,0,18.2,219,Good
86,1,6.3,298,Good
159,1,14.7,342,Moderate
345,3,5.6,292,Needs Improvement
463,3,4.6,99,Needs Improvement
387,3,7.7,260,Needs Improvement
289,0,13.8,100,Good
81,3,14.8,105,Moderate
177,1,4.6,279,Good
121,3,4.5,286,Moderate
177,0,9.4,331,Good
100,0,13.4,326,Good
478,0,19.4,171,Needs Improvement
135,3,10.2,159,Moderate
492,3,18.1,134,Needs Improvement
244,0,19.7,185,Moderate
451,3,6.4,334,Needs Improvement
388,3,3.9,201,Needs Improvement
161,0,12.0,327,Good
81,2,2.1,349,Good
294,1,2.1,310,Good
91,1,2.3,84,Excellent
395,1,8.7,341,Moderate
176,0,12.8,264,Good
386,2,18.8,154,Needs Improvement
392,2,5.5,252,Moderate
117,2,9.7,87,Good
54,3,12.8,338,Moderate
101,0,11.2,309,Good
185,1,18.7,85,Moderate
500,1,8.0,130,Moderate
274,2,12.6,320,Needs Improvement
54,2,18.7,103,Moderate
499,1,6.0,104,Moderate
430,1,6.2,157,Moderate
417,2,4.9,185,Moderate
308,3,5.8,76,Moderate
97,3,16.8,72,Moderate
51,2,15.7,184,Moderate
132,3,11.5,268,Moderate
337,0,3.1,126,Good
329,0,16.9,348,Moderate
332,1,9.2,71,Moderate
207,2,18.1,70,Moderate
233,1,14.0,102,Moderate
231,3,19.5,129,Needs Improvement
171,1,19.5,140,Moderate
261,0,4.4,220,Good
450,3,16.2,177,Needs Improvement
186,1,16.0,105,Moderate
245,0,17.3,163,Moderate
152,3,7.6,166,Moderate
164,0,13.5,254,Good
218,2,17.4,192,Needs Improvement
229,3,13.9,324,Needs Improvement
219,0,3.2,183,Excellent
141,2,1.7,272,Good
226,2,9.3,311,Moderate
109,3,18.1,147,Needs Improvement
180,0,14.5,50,Good
316,1,7.9,85,Good
390,2,12.8,113,Needs Improvement
418,2,10.6,259,Needs Improvement
217,3,14.2,333,Needs Improvement
115,1,9.0,244,Good
396,1,12.7,204,Moderate
257,0,6.8,157,Good
270,2,9.8,276,Moderate
395,1,10.7,136,Moderate
387,0,6.4,221,Good
97,1,13.8,165,Good
462,1,3.8,73,Moderate
175,3,12.6,87,Moderate
283,3,17.8,344,Needs Improvement
149,3,10.4,174,Moderate
125,0,18.0,104,Good
448,3,5.2,315,Needs Improvement
287,0,11.6,112,Good
283,1,16.2,321,Moderate
336,2,19.1,276,Needs Improvement
363,3,16.8,330,Needs Improvement
278,1,15.1,293,Moderate
280,2,15.3,191,Needs Improvement
